slug,artigo,pagina,imagem_local,texto_alternativo,legenda,licenca,fonte,status
segundo-reinado,Segundo Reinado,artigo-segundo-reinado.html,,,,,,sem imagem local; consultar fonte manualmente
conselho-de-ministros-do-imperio,Conselho de Ministros do Império,artigo-conselho-de-ministros-do-imperio.html,,,,,,sem imagem local; consultar fonte manualmente
primeira-republica,Primeira República,artigo-primeira-republica.html,,,,,,sem imagem local; consultar fonte manualmente
assembleia-provincial-de-minas-gerais,Assembleia Provincial de Minas Gerais,artigo-assembleia-provincial-de-minas-gerais.html,,,,,,sem imagem local; consultar fonte manualmente
serra-da-mantiqueira,Serra da Mantiqueira,artigo-serra-da-mantiqueira.html,img/wikipedia/serra-da-mantiqueira/image.jpg,Paisagem montanhosa da Serra da Mantiqueira,Paisagem da Serra da Mantiqueira.,CC BY-SA,https://commons.wikimedia.org/wiki/File:Montanhas_da_Serra_da_mantiqueira.jpg,local e com legenda/crédito
vale-do-paraiba,Vale do Paraíba,artigo-vale-do-paraiba.html,img/wikipedia/vale-do-paraiba/image.jpg,Paisagem do Vale do Paraíba,Paisagem do Vale do Paraíba.,CC BY-SA,https://commons.wikimedia.org/wiki/File:Vale_do_paraiba.jpg,local e com legenda/crédito
mata-da-corda,Mata da Corda,artigo-mata-da-corda.html,,,,,,sem imagem local; consultar fonte manualmente
capitaes-mores-no-triangulo-mineiro,Capitães-mores e o povoamento do Triângulo Mineiro,artigo-capitaes-mores-no-triangulo-mineiro.html,,,,,,sem imagem local; consultar fonte manualmente
rifaina-sp,Rifaina (SP),artigo-rifaina-sp.html,,,,,,sem imagem local; consultar fonte manualmente
universidade-federal-de-uberlandia,Universidade Federal de Uberlândia,artigo-universidade-federal-de-uberlandia.html,,,,,,sem imagem local; consultar fonte manualmente
universidade-federal-do-triangulo-mineiro,Universidade Federal do Triângulo Mineiro,artigo-universidade-federal-do-triangulo-mineiro.html,img/wikipedia/universidade-federal-do-triangulo-mineiro/image.png,Universidade Federal do Triângulo Mineiro,Universidade Federal do Triângulo Mineiro — imagem da página correspondente na Wikipédia.,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:LOGOUFTM.png,local e com legenda/crédito
universidade-federal-de-vicosa,Universidade Federal de Viçosa,artigo-universidade-federal-de-vicosa.html,img/wikipedia/universidade-federal-de-vicosa/image.jpg,"Edifício Arthur da Silva Bernardes, prédio histórico do campus da UFV em Viçosa","Edifício Arthur da Silva Bernardes, no campus-sede da UFV em Viçosa (MG) — fora do Triângulo Mineiro.",CC BY-SA,"https://commons.wikimedia.org/wiki/File:Vista_do_Edif%C3%ADcio_Arthur_da_Silva_Bernardes_na_UFV,_Vi%C3%A7osa_MG.JPG",local e com legenda/crédito
associacao-brasileira-dos-criadores-de-zebu,Associação Brasileira dos Criadores de Zebu,artigo-associacao-brasileira-dos-criadores-de-zebu.html,img/wikipedia/associacao-brasileira-dos-criadores-de-zebu/image.jpg,"Boi da raça Nelore, a principal raça zebuína criada no Brasil",Boi da raça Nelore — a raça zebuína de maior destaque no registro genealógico da ABCZ.,CC BY-SA,https://commons.wikimedia.org/wiki/File:Boi_Nelore_no_sul_do_Brasil.jpg,local e com legenda/crédito
centro-de-pesquisas-paleontologicas-de-peiropolis,Centro de Pesquisas Paleontológicas Llewellyn Ivor Price,artigo-centro-de-pesquisas-paleontologicas-de-peiropolis.html,img/wikipedia/centro-de-pesquisas-paleontologicas-de-peiropolis/image.jpg,Réplica de esqueleto de titanossauro em exposição em Peirópolis,"Réplica de titanossauro em exposição no Centro de Pesquisas Paleontológicas, em Peirópolis.",CC BY-SA,https://commons.wikimedia.org/wiki/File:Replica_de_Titanossauro_em_Peir%C3%B3polis.jpg,local e com legenda/crédito
diocese-de-uberaba,Diocese de Uberaba,artigo-diocese-de-uberaba.html,img/wikipedia/diocese-de-uberaba/image.jpg,Fachada da Catedral de São Domingos (Catedral Metropolitana de Uberaba),"Catedral de São Domingos, sede da Arquidiocese de Uberaba.",CC BY-SA,https://commons.wikimedia.org/wiki/File:Catedral_S%C3%A3o_Domingos_em_Uberaba.jpg,local e com legenda/crédito
usina-hidreletrica-de-porto-colombia,Usina Hidrelétrica de Porto Colômbia,artigo-usina-hidreletrica-de-porto-colombia.html,,,,,,sem imagem local; consultar fonte manualmente
diogo-antonio-feijo,Diogo Antônio Feijó,artigo-diogo-antonio-feijo.html,,,,,,sem imagem local; consultar fonte manualmente
bernardo-pereira-de-vasconcelos,Bernardo Pereira de Vasconcelos,artigo-bernardo-pereira-de-vasconcelos.html,,,,,,sem imagem local; consultar fonte manualmente
pedro-de-araujo-lima-marques-de-olinda,"Pedro de Araújo Lima, Marquês de Olinda",artigo-pedro-de-araujo-lima-marques-de-olinda.html,,,,,,sem imagem local; consultar fonte manualmente
honorio-hermeto-carneiro-leao-marques-de-parana,"Honório Hermeto Carneiro Leão, Marquês do Paraná",artigo-honorio-hermeto-carneiro-leao-marques-de-parana.html,,,,,,sem imagem local; consultar fonte manualmente
joaquim-jose-rodrigues-torres-visconde-de-itaborai,"Joaquim José Rodrigues Torres, Visconde de Itaboraí",artigo-joaquim-jose-rodrigues-torres-visconde-de-itaborai.html,,,,,,sem imagem local; consultar fonte manualmente
manuel-alves-branco,Manuel Alves Branco,artigo-manuel-alves-branco.html,,,,,,sem imagem local; consultar fonte manualmente
jose-antonio-saraiva,José Antônio Saraiva,artigo-jose-antonio-saraiva.html,,,,,,sem imagem local; consultar fonte manualmente
manuel-pinto-de-sousa-dantas,Manuel Pinto de Sousa Dantas,artigo-manuel-pinto-de-sousa-dantas.html,,,,,,sem imagem local; consultar fonte manualmente
joao-alfredo-correia-de-oliveira,João Alfredo Correia de Oliveira,artigo-joao-alfredo-correia-de-oliveira.html,,,,,,sem imagem local; consultar fonte manualmente
jose-bonifacio-de-andrada-e-silva,José Bonifácio de Andrada e Silva,artigo-jose-bonifacio-de-andrada-e-silva.html,,,,,,sem imagem local; consultar fonte manualmente
eusebio-de-queiros,Eusébio de Queirós,artigo-eusebio-de-queiros.html,,,,,,sem imagem local; consultar fonte manualmente
jose-maria-da-silva-paranhos-visconde-do-rio-branco,"José Maria da Silva Paranhos, Visconde do Rio Branco",artigo-jose-maria-da-silva-paranhos-visconde-do-rio-branco.html,,,,,,sem imagem local; consultar fonte manualmente
isabel-princesa-imperial-do-brasil,"Isabel, Princesa Imperial do Brasil",artigo-isabel-princesa-imperial-do-brasil.html,,,,,,sem imagem local; consultar fonte manualmente
dom-pedro-ii,Dom Pedro II,artigo-dom-pedro-ii.html,,,,,,sem imagem local; consultar fonte manualmente
joaquim-jose-da-silva-xavier-tiradentes,Joaquim José da Silva Xavier (Tiradentes),artigo-joaquim-jose-da-silva-xavier-tiradentes.html,,,,,,sem imagem local; consultar fonte manualmente
pedro-taques-de-almeida-paes-leme,Pedro Taques de Almeida Paes Leme,artigo-pedro-taques-de-almeida-paes-leme.html,,,,,,sem imagem local; consultar fonte manualmente
washington-luis,Washington Luís,artigo-washington-luis.html,,,,,,sem imagem local; consultar fonte manualmente
julio-prestes,Júlio Prestes,artigo-julio-prestes.html,,,,,,sem imagem local; consultar fonte manualmente
getulio-vargas,Getúlio Vargas,artigo-getulio-vargas.html,,,,,,sem imagem local; consultar fonte manualmente
joao-pessoa,João Pessoa,artigo-joao-pessoa.html,,,,,,sem imagem local; consultar fonte manualmente
benedito-valadares,Benedito Valadares,artigo-benedito-valadares.html,,,,,,sem imagem local; consultar fonte manualmente
peter-henry-rolfs,Peter Henry Rolfs,artigo-peter-henry-rolfs.html,,,,,,sem imagem local; consultar fonte manualmente
roberto-burle-marx,Roberto Burle Marx,artigo-roberto-burle-marx.html,,,,,,sem imagem local; consultar fonte manualmente
dom-eduardo-duarte-silva,Dom Eduardo Duarte Silva,artigo-dom-eduardo-duarte-silva.html,,,,,,sem imagem local; consultar fonte manualmente
luiz-signorelli,Luiz Signorelli,artigo-luiz-signorelli.html,,,,,,sem imagem local; consultar fonte manualmente
fernando-alexandre-vilela-andrade,Fernando Alexandre Vilela Andrade,artigo-fernando-alexandre-vilela-andrade.html,,,,,,sem imagem local; consultar fonte manualmente
joaquim-gotardo-de-lima,Joaquim Gotardo de Lima,artigo-joaquim-gotardo-de-lima.html,,,,,,sem imagem local; consultar fonte manualmente
padre-antonio-dias-gouveia,Padre Antônio Dias Gouveia,artigo-padre-antonio-dias-gouveia.html,,,,,,sem imagem local; consultar fonte manualmente
mario-palmerio,Mário Palmério,artigo-mario-palmerio.html,,,,,,sem imagem local; consultar fonte manualmente
chico-xavier,Chico Xavier,artigo-chico-xavier.html,,,,,,sem imagem local; consultar fonte manualmente
barao-de-ponte-alta,"Antônio Elói Casimiro de Araújo, barão de Ponte Alta",artigo-barao-de-ponte-alta.html,,,,,,sem imagem local; consultar fonte manualmente
antonio-borges-sampaio,Antônio Borges Sampaio,artigo-antonio-borges-sampaio.html,,,,,,sem imagem local; consultar fonte manualmente
thomaz-pimentel-de-ulhoa,Thomaz Pimentel de Ulhôa,artigo-thomaz-pimentel-de-ulhoa.html,,,,,,sem imagem local; consultar fonte manualmente
joaquim-jose-saraiva-junior,Joaquim José Saraiva Júnior,artigo-joaquim-jose-saraiva-junior.html,,,,,,sem imagem local; consultar fonte manualmente
jose-joaquim-de-oliveira-teixeira,José Joaquim de Oliveira Teixeira,artigo-jose-joaquim-de-oliveira-teixeira.html,,,,,,sem imagem local; consultar fonte manualmente
joaquim-botelho-medico-uberaba,Joaquim Botelho,artigo-joaquim-botelho-medico-uberaba.html,,,,,,sem imagem local; consultar fonte manualmente
joao-baptista-pinheiro-uberaba,João Baptista Pinheiro,artigo-joao-baptista-pinheiro-uberaba.html,,,,,,sem imagem local; consultar fonte manualmente
francelino-carvalho,Francelino Carvalho,artigo-francelino-carvalho.html,,,,,,sem imagem local; consultar fonte manualmente
bernardo-guimaraes,Bernardo Guimarães,artigo-bernardo-guimaraes.html,,,,,,sem imagem local; consultar fonte manualmente
joao-da-matta-machado-junior,João da Matta Machado Júnior,artigo-joao-da-matta-machado-junior.html,,,,,,sem imagem local; consultar fonte manualmente
joao-chrockatt-de-sa-pereira-de-castro,João Chrockatt de Sá Pereira de Castro,artigo-joao-chrockatt-de-sa-pereira-de-castro.html,,,,,,sem imagem local; consultar fonte manualmente
avelino-milagres,Avelino Milagres,artigo-avelino-milagres.html,,,,,,sem imagem local; consultar fonte manualmente
constantino-paleta,Constantino Paleta,artigo-constantino-paleta.html,,,,,,sem imagem local; consultar fonte manualmente
joao-severiano-da-fonseca-hermes,João Severiano da Fonseca Hermes,artigo-joao-severiano-da-fonseca-hermes.html,,,,,,sem imagem local; consultar fonte manualmente
ivo-silveira-liberto-diamantina,Ivo Silveira,artigo-ivo-silveira-liberto-diamantina.html,,,,,,sem imagem local; consultar fonte manualmente
feliciano-duarte-liberto-diamantina,Feliciano Duarte,artigo-feliciano-duarte-liberto-diamantina.html,,,,,,sem imagem local; consultar fonte manualmente
joaquim-nabuco,Joaquim Nabuco,artigo-joaquim-nabuco.html,,,,,,sem imagem local; consultar fonte manualmente
andre-reboucas,André Rebouças,artigo-andre-reboucas.html,,,,,,sem imagem local; consultar fonte manualmente
luis-gama,Luís Gama,artigo-luis-gama.html,,,,,,sem imagem local; consultar fonte manualmente
jose-do-patrocinio,José do Patrocínio,artigo-jose-do-patrocinio.html,,,,,,sem imagem local; consultar fonte manualmente
antonio-bento-de-souza-e-castro,Antônio Bento de Souza e Castro,artigo-antonio-bento-de-souza-e-castro.html,,,,,,sem imagem local; consultar fonte manualmente
maria-firmina-dos-reis,Maria Firmina dos Reis,artigo-maria-firmina-dos-reis.html,,,,,,sem imagem local; consultar fonte manualmente
ana-jacinta-de-sao-jose-dona-beja,Ana Jacinta de São José (Dona Beja),artigo-ana-jacinta-de-sao-jose-dona-beja.html,,,,,,sem imagem local; consultar fonte manualmente
felisberto-alves-carrijo,Felisberto Alves Carrijo,artigo-felisberto-alves-carrijo.html,,,,,,sem imagem local; consultar fonte manualmente
joao-pereira-da-rocha,João Pereira da Rocha,artigo-joao-pereira-da-rocha.html,,,,,,sem imagem local; consultar fonte manualmente
francisca-alves-rabelo,Francisca Alves Rabelo,artigo-francisca-alves-rabelo.html,,,,,,sem imagem local; consultar fonte manualmente
henrique-raimundo-des-genettes,Henrique Raimundo Des Genettes,artigo-henrique-raimundo-des-genettes.html,,,,,,sem imagem local; consultar fonte manualmente
rosa-escravizada-de-bagagem,Rosa (escravizada de Bagagem),artigo-rosa-escravizada-de-bagagem.html,,,,,,sem imagem local; consultar fonte manualmente
casimiro-de-morais,Casimiro de Morais,artigo-casimiro-de-morais.html,,,,,,sem imagem local; consultar fonte manualmente
teofilo-de-godoy,Teófilo de Godoy,artigo-teofilo-de-godoy.html,,,,,,sem imagem local; consultar fonte manualmente
antonio-joaquim-da-silva-guerra,Antônio Joaquim da Silva Guerra,artigo-antonio-joaquim-da-silva-guerra.html,,,,,,sem imagem local; consultar fonte manualmente
luiza-correa-de-andrade,Luiza Corrêa de Andrade,artigo-luiza-correa-de-andrade.html,,,,,,sem imagem local; consultar fonte manualmente
francisco-martins-mundim,Francisco Martins Mundim,artigo-francisco-martins-mundim.html,,,,,,sem imagem local; consultar fonte manualmente
padre-domingos-da-costa-pereira,Padre Domingos da Costa Pereira,artigo-padre-domingos-da-costa-pereira.html,,,,,,sem imagem local; consultar fonte manualmente
mariano-de-avila,Mariano de Ávila,artigo-mariano-de-avila.html,,,,,,sem imagem local; consultar fonte manualmente
pedro-goncalves-da-silva-pedro-panga,Pedro Gonçalves da Silva (Pedro Panga),artigo-pedro-goncalves-da-silva-pedro-panga.html,,,,,,sem imagem local; consultar fonte manualmente
joao-quintino-teixeira,João Quintino Teixeira,artigo-joao-quintino-teixeira.html,,,,,,sem imagem local; consultar fonte manualmente
candido-justiniano-da-lira-gama,Cândido Justiniano da Lira Gama,artigo-candido-justiniano-da-lira-gama.html,,,,,,sem imagem local; consultar fonte manualmente
manoel-joaquim-barcelos,Manoel Joaquim Barcelos,artigo-manoel-joaquim-barcelos.html,,,,,,sem imagem local; consultar fonte manualmente
capitao-pedro-franco-quaresma,Capitão Pedro Franco Quaresma,artigo-capitao-pedro-franco-quaresma.html,,,,,,sem imagem local; consultar fonte manualmente
comendador-joaquim-antonio-gomes-da-silva,Comendador Joaquim Antônio Gomes da Silva,artigo-comendador-joaquim-antonio-gomes-da-silva.html,,,,,,sem imagem local; consultar fonte manualmente
horacio-de-paula-e-silva,Horácio de Paula e Silva,artigo-horacio-de-paula-e-silva.html,,,,,,sem imagem local; consultar fonte manualmente
manoel-garcia-da-rosa-terra,Manoel Garcia da Rosa Terra,artigo-manoel-garcia-da-rosa-terra.html,,,,,,sem imagem local; consultar fonte manualmente
ambrosio-rei-quilombola,Ambrósio (Rei Ambrósio),artigo-ambrosio-rei-quilombola.html,,,,,,sem imagem local; consultar fonte manualmente
victoria-puri-uberaba,"Victoria (ação de liberdade de 1846, Uberaba)",artigo-victoria-puri-uberaba.html,,,,,,sem imagem local; consultar fonte manualmente
maria-rita-escravizada-uberaba,Maria Rita (Uberaba),artigo-maria-rita-escravizada-uberaba.html,,,,,,sem imagem local; consultar fonte manualmente
barbara-crioula-uberaba,Bárbara Crioula,artigo-barbara-crioula-uberaba.html,,,,,,sem imagem local; consultar fonte manualmente
belizario-cabra,Belizário Cabra,artigo-belizario-cabra.html,,,,,,sem imagem local; consultar fonte manualmente
jose-de-nacao-benguela,"José, de nação Benguela",artigo-jose-de-nacao-benguela.html,,,,,,sem imagem local; consultar fonte manualmente
marianna-de-nacao-benguela,"Marianna, de nação Benguela",artigo-marianna-de-nacao-benguela.html,,,,,,sem imagem local; consultar fonte manualmente
manuel-bento-cabra,Manuel Bento,artigo-manuel-bento-cabra.html,,,,,,sem imagem local; consultar fonte manualmente
pulcheria-cabra,Pulcheria,artigo-pulcheria-cabra.html,,,,,,sem imagem local; consultar fonte manualmente
theodoro-da-silva-brandao,Theodoro da Silva Brandão,artigo-theodoro-da-silva-brandao.html,,,,,,sem imagem local; consultar fonte manualmente
bartolomeu-bueno-do-prado,Bartolomeu Bueno do Prado,artigo-bartolomeu-bueno-do-prado.html,,,,,,sem imagem local; consultar fonte manualmente
inacio-correia-pamplona,Inácio Correia Pamplona,artigo-inacio-correia-pamplona.html,,,,,,sem imagem local; consultar fonte manualmente
benjamim-augusto-vieira,Benjamim Augusto Vieira,artigo-benjamim-augusto-vieira.html,,,,,,sem imagem local; consultar fonte manualmente
clemente-vieira-de-araujo,Doutor Clemente Vieira de Araújo,artigo-clemente-vieira-de-araujo.html,,,,,,sem imagem local; consultar fonte manualmente
